"Timestamp","First language","Second language","Third language"
"2017/10/26 5:56:25 PM GMT+2","Perl 5","Python","JavaScript"
"2017/10/26 7:06:42 PM GMT+2","Bash","Python","C"
"2017/10/26 7:10:07 PM GMT+2","Python","Bash","C"
"2017/10/26 9:54:56 PM GMT+2","C#","C++","JavaScript"
"2017/10/26 9:59:59 PM GMT+2","JavaScript","Python","C#"
"2017/10/26 10:26:43 PM GMT+2","Perl 5","C++","C"
"2017/10/26 10:28:20 PM GMT+2","Python","Java","Bash"
"2017/10/26 11:04:40 PM GMT+2","Perl 5","Python","PHP"
"2017/10/26 11:05:14 PM GMT+2","Perl 5","Python","PHP"
"2017/10/26 11:57:11 PM GMT+2","Perl 5","Haskell","Go"
"2017/10/27 2:07:10 AM GMT+2","Java","Python","Go"
"2017/10/27 6:08:11 AM GMT+2","C#","JavaScript","C++"
"2017/10/27 9:24:17 AM GMT+2","C#","Perl 5","C++"
"2017/10/27 11:00:18 AM GMT+2","Perl 5","Bash","Python"
"2017/10/27 12:51:35 PM GMT+2","JavaScript","C++","Python"
"2017/10/27 12:53:37 PM GMT+2","C#","JavaScript","Java"
"2017/10/27 1:17:04 PM GMT+2","Java","Python","C"
"2017/10/27 2:00:08 PM GMT+2","C++","Python","Bash"
"2017/10/27 8:44:42 PM GMT+2","Perl 5","JavaScript","Bash"
"2017/10/27 11:18:23 PM GMT+2","Perl 5","C","Bash"
"2017/10/27 11:34:05 PM GMT+2","C++","C","C#"
"2017/10/28 12:16:08 AM GMT+2","Perl 5","Java","C"
"2017/10/28 11:44:35 AM GMT+2","Perl 5","Bash","C"
"2017/10/28 4:19:37 PM GMT+2","Java","JavaScript","Scala"
"2017/10/28 6:03:50 PM GMT+2","Perl 5","JavaScript","C#"
"2017/10/28 6:18:52 PM GMT+2","C++","Java","Erlang"
"2017/10/29 2:21:05 AM GMT+2","Perl 5","Bash","Perl 6"
"2017/10/29 8:49:07 AM GMT+2","Go","Java","Python"
"2017/10/29 9:16:02 AM GMT+2","C#","Python","JavaScript"
"2017/10/29 3:00:27 PM GMT+2","Python","Java","C++"
"2017/10/29 7:23:44 PM GMT+2","C","Ruby","Perl 5"
"2017/10/30 5:06:32 AM GMT+2","Go","Java","JavaScript"
